,4.3 <= sepal_length < 5.4,5.4 <= sepal_length < 5.8,5.8 <= sepal_length <= 7.7,2.0 <= sepal_width < 3.2,3.2 <= sepal_width <= 4.2,1.1 <= petal_length < 2.45,2.45 <= petal_length < 4.8,4.8 <= petal_length <= 6.7,0.1 <= petal_width < 0.8,0.8 <= petal_width < 1.75,1.75 <= petal_width <= 2.5,target
0,1,0,0,0,1,1,0,0,1,0,0,0
1,1,0,0,1,0,1,0,0,1,0,0,0
2,1,0,0,0,1,1,0,0,1,0,0,0
3,1,0,0,1,0,1,0,0,1,0,0,0
4,1,0,0,0,1,1,0,0,1,0,0,0
5,0,1,0,0,1,1,0,0,1,0,0,0
6,1,0,0,0,1,1,0,0,1,0,0,0
7,1,0,0,0,1,1,0,0,1,0,0,0
8,1,0,0,1,0,1,0,0,1,0,0,0
9,1,0,0,1,0,1,0,0,1,0,0,0
10,0,1,0,0,1,1,0,0,1,0,0,0
11,1,0,0,0,1,1,0,0,1,0,0,0
12,1,0,0,1,0,1,0,0,1,0,0,0
13,1,0,0,1,0,1,0,0,1,0,0,0
14,0,0,1,0,1,1,0,0,1,0,0,0
15,0,1,0,0,0,1,0,0,1,0,0,0
16,0,1,0,0,1,1,0,0,1,0,0,0
17,1,0,0,0,1,1,0,0,1,0,0,0
18,0,1,0,0,1,1,0,0,1,0,0,0
19,1,0,0,0,1,1,0,0,1,0,0,0
20,0,1,0,0,1,1,0,0,1,0,0,0
21,1,0,0,0,1,1,0,0,1,0,0,0
22,1,0,0,0,1,0,0,0,1,0,0,0
23,1,0,0,0,1,1,0,0,1,0,0,0
24,1,0,0,0,1,1,0,0,1,0,0,0
25,1,0,0,1,0,1,0,0,1,0,0,0
26,1,0,0,0,1,1,0,0,1,0,0,0
27,1,0,0,0,1,1,0,0,1,0,0,0
28,1,0,0,0,1,1,0,0,1,0,0,0
29,1,0,0,0,1,1,0,0,1,0,0,0
30,1,0,0,1,0,1,0,0,1,0,0,0
31,0,1,0,0,1,1,0,0,1,0,0,0
32,1,0,0,0,1,1,0,0,1,0,0,0
33,0,1,0,0,1,1,0,0,1,0,0,0
34,1,0,0,1,0,1,0,0,1,0,0,0
35,1,0,0,0,1,1,0,0,1,0,0,0
36,0,1,0,0,1,1,0,0,1,0,0,0
37,1,0,0,0,1,1,0,0,1,0,0,0
38,1,0,0,1,0,1,0,0,1,0,0,0
39,1,0,0,0,1,1,0,0,1,0,0,0
40,1,0,0,0,1,1,0,0,1,0,0,0
41,1,0,0,1,0,1,0,0,1,0,0,0
42,1,0,0,0,1,1,0,0,1,0,0,0
43,1,0,0,0,1,1,0,0,1,0,0,0
44,1,0,0,0,1,1,0,0,1,0,0,0
45,1,0,0,1,0,1,0,0,1,0,0,0
46,1,0,0,0,1,1,0,0,1,0,0,0
47,1,0,0,0,1,1,0,0,1,0,0,0
48,1,0,0,0,1,1,0,0,1,0,0,0
49,1,0,0,0,1,1,0,0,1,0,0,0
